EntrezGene.ID	Associated.Gene.Name	Transcript.Start..bp.	Chromosome.Name
    54478	FAM64A	  6288492	chr17
NA	OR51C1P	  4668564	chr11
NA	INO80C	 31288784	chr18
NA	AC103710.2-3	  4686326	chr11
NA	ZNF436	 23559054	chr1
 29116	MYLIP	 16237296	chr6
   256892	OR51F1	  4746785	chr11
    23236	PLCB1	  8061296	chr20
   125476	INO80C	 31302291	chr18
NA	PLCB1	  8061299	chr20
 27075	TSPAN13	 16759876	chr7
   119695	OR52R1	  4781239	chr11
    80818	ZNF436	 23559055	chr1
NA	EFHB	 19895972	chr3
NA	OR52R1	  4781239	chr11
   148898	C1orf213	 23568051	chr1
   133015	PACRGL	 20311387	chr4
   151651	EFHB	 19895968	chr3
    26272	FBXO4	 41961113	chr5
NA	OR52R1	  4781281	chr11
NA	AC073333.5	 16795391	chr7
NA	MYLIP	 16237381	chr6
   148898	C1orf213	 23568316	chr1
   119694	OR51F2	  4799192	chr11
NA	EFHB	 19895968	chr3
   133015	PACRGL	 20311198	chr4
   119692	OR51S1	  4826043	chr11
   348654	GEN1	 17798895	chr2
NA	OR51H1P	  4837462	chr11
NA	PACRGL	 20311198	chr4
  4074	M6PR	  8984243	chr12
  3117	HLA-DQA1	 32681486	chrc6_QBL
   731682	HLA-DQA1	 32681486	chrc6_QBL
100133678	HLA-DQA1	 32681486	chrc6_QBL
  2114	ETS2	 39099719	chr21
     2687	GGTLA1	 22945622	chr22
   401665	OR51T1	  4859625	chr11
NA	EFHB	 19911279	chr3
  2589	GALNT1	 31488599	chr18
NA	UPF2	 12013672	chr10
     1877	E4F1	  2213568	chr16
NA	UPF2	 12108655	chr10
NA	OR51T1	  4859706	chr11
   348654	GEN1	 17798658	chr2
  2766	GMPR	 16346790	chr6
NA	GHR	 42459783	chr5
NA	OR51A7	  4885176	chr11
  5868	RAB5A	 19963749	chr3
     6920	TCEA3	 23579510	chr1
 55667	DENND4C	 19280749	chr9
  1938	EEF2	  3927055	chr19
    10174	SORBS3	 22465196	chr8
   119687	OR51A7	  4885176	chr11
     2114	ETS2	 39099101	chr21
    10551	AGR2	 16797963	chr7
   343930	MSGN1	 17861267	chr2
     2690	GHR	 42459783	chr5
NA	PLCB1	  8556934	chr20
NA	OR51A7	  4885209	chr11
    83394	PITPNM3	  6299347	chr17
 25963	TMEM87A	 40290041	chr15
NA	AP001042.1	 39171085	chr21
     5475	PPEF1	 18618967	chrX
    57511	COG6	 39127814	chr13
     5875	RABGGTA	 23804661	chr14
    80333	KCNIP4	 20339337	chr4
  6310	ATXN1	 16409983	chr6
     6920	TCEA3	 23580141	chr1
    81282	OR51G2	  4892525	chr11
NA	DNASE1L2	  2226469	chr16
 55526	DHTKD1	 12150940	chr10
     6310	ATXN1	 16414513	chr6
NA	POM121L9P	 22977589	chr22
     2589	GALNT1	 31415001	chr18
    79324	OR51G1	  4901180	chr11
 10219	KLRG1	  9033488	chr12
   401666	OR51A4	  4923965	chr11
   440350	OR51A4	  4923965	chr11
     3790	KCNS3	 17923426	chr2
     8624	PSMG1	 39468565	chr21
   401667	OR51A2	  4932578	chr11
NA	PPEF1	 18618967	chrX
     1775	DNASE1L2	  2226469	chr16
NA	DENND4C	 19280749	chr9
    56547	MMP26	  4966000	chr11
NA	AGR2	 16800823	chr7
 51588	PIAS4	  3958748	chr19
    10219	KLRG1	  9033488	chr12
    25963	TMEM87A	 40338439	chr15
   151649	C3orf48	 19996458	chr3
     3790	KCNS3	 17922595	chr2
     6310	ATXN1	 16407322	chr6
  9851	KIAA0753	  6422370	chr17
   155465	AGR3	 16865554	chr7
    83608	C18orf21	 31806586	chr18
    55616	ASAP3	 23627643	chr1
NA	DENND4C	 19322090	chr9
NA	AL137003.12	 16845064	chr6
 64236	PDLIM2	 22493929	chr8
 57665	RDH14	 18599489	chr2
NA	COG6	 39127881	chr13
100129792	CCDC152	 42792687	chr5
NA	DENND4C	 19332667	chr9
    56547	MMP26	  4745076	chr11
  1632	DCI	  2229901	chr16
 55176	SEC61A2	 12211700	chr10
NA	AL445143.2	 39816168	chr13
NA	DENND4C	 19336554	chr9
NA	C3orf48	 20001876	chr3
   119682	OR51L1	  4976789	chr11
  5332	PLCB4	  9024932	chr20
NA	AL445143.2	 39918108	chr13
     2595	GANC	 40353658	chr15
NA	DENND4C	 19336726	chr9
     5475	PPEF1	 18635681	chrX
   119679	OR52J3	  5024332	chr11
   119678	OR52E2	  5036456	chr11
NA	AL445143.2	 39923073	chr13
NA	AGR3	 16866602	chr7
    80333	KCNIP4	 20339328	chr4
    84817	TXNL5	  6484946	chr17
   390053	OR52A4	  5098470	chr11
115817	DHRS1	 23829646	chr14
    64236	PDLIM2	 22492588	chr8
   388885	AP000354.1	 22995314	chr22
NA	C18orf21	 31806746	chr18
100132636	AC016586.9	  3993083	chr19
  6414	SEPP1	 42836579	chr5
  2308	FOXO1A	 40027801	chr13
   221662	RBM24	 17389792	chr6
  6194	RPS6	 19366254	chr9
    55176	SEC61A2	 12211699	chr10
   196	AHR	 17304832	chr7
NA	ASAP3	 23630822	chr1
     8850	KAT2B	 20056528	chr3
NA	RDH14	 18600292	chr2
    55197	RPRD1A	 31823792	chr18
   390054	OR52A5	  5109498	chr11
    93034	RDH14	 18607618	chr2
    23538	OR52A1	  5129237	chr11
 51341	ZBTB7A	  3996217	chr19
  1870	E2F2	 23705509	chr1
    55176	SEC61A2	 12211696	chr10
  5256	PHKA2	 18820802	chrX
NA	AC009065.8-1	  2243188	chr16
NA	CYTSA	 22996866	chr22
 51003	MED31	  6487357	chr17
   825	CAPN3	 40427593	chr15
 54014	BRWD1	 39479274	chr21
     5332	PLCB4	  9236447	chr20
     6194	RPS6	 19366254	chr9
      825	CAPN3	 40438990	chr15
    23384	CYTSA	 22996866	chr22
   161424	C14orf21	 23838908	chr14
    23538	OR52A1	  5128815	chr11
    64236	PDLIM2	 22492608	chr8
NA	C14orf21	 23838925	chr14
NA	AC008875.9	 43050282	chr5
   283111	OR51V1	  5177541	chr11
    55197	RPRD1A	 31823785	chr18
    64236	PDLIM2	 22493987	chr8
   221662	RBM24	 17390911	chr6
 27141	CIDEB	 23844241	chr14
 10921	RNPS1	  2243125	chr16
   643446	RNPS1	  2243125	chr16
  3043	HBB	  5203272	chr11
   389289	C5orf39	 43075258	chr5
   388327	C17orf100	  6495695	chr17
NA	CAP2	 17501715	chr6
NA	SEC61A2	 12211732	chr10
NA	SEC61A2	 12211699	chr10
NA	AC025171.8	 43077952	chr5
NA	AP000355.1	 23155178	chr22
NA	RPRD1A	 31823785	chr18
NA	SEC61A2	 12211642	chr10
  3399	ID3	 23757012	chr1
NA	RDH14	 18607679	chr2
NA	SEC61A2	 12211738	chr10
    56413	LTB4R2	 23848001	chr14
    10486	CAP2	 17501715	chr6
NA	RPRD1A	 31859559	chr18
   284111	SLC13A5	  6528765	chr17
NA	BRWD1	 39488519	chr21
 10240	MRPS31	 40201440	chr13
   130497	OSR1	 19414728	chr2
   135	ADORA2A	 23159315	chr22
NA	PDLIM2	 22492588	chr8
NA	RPS6	 19366268	chr9
  7690	ZNF131	 43157399	chr5
NA	PLCB4	  9024932	chr20
NA	PDLIM2	 22502332	chr8
NA	RPS6	 19366283	chr9
    54014	BRWD1	 39484042	chr21
  5605	MAP2K2	  4041331	chr19
NA	RPS6	 19368772	chr9
 25800	SLC39A6	 31942493	chr18
 10166	SLC25A15	 40261597	chr13
NA	ZNF131	 43157399	chr5
NA	SGOL1	 20177091	chr3
NA	NUDT5	 12248508	chr10
   541565	C8orf58	 22513067	chr8
NA	MDS2	 23826411	chr1
    11164	NUDT5	 12249582	chr10
     3117	HLA-DQA1	 32681520	chrc6_QBL
   731682	HLA-DQA1	 32681520	chrc6_QBL
100133678	HLA-DQA1	 32681520	chrc6_QBL
  1241	LTB4R	 23852357	chr14
      135	ADORA2A	 23153530	chr22
166647	GPR125	 21998097	chr4
 51439	FAM8A1	 17708565	chr6
   340485	ACER2	 19398925	chr9
NA	SLC13A5	  6528765	chr17
   130502	TTC32	 19960001	chr2
   167359	AC114947.1	 43228084	chr5
NA	HLA-DQA1	 32681486	chrc6_QBL
   151648	SGOL1	 20177091	chr3
 23161	SNX13	 17799135	chr7
NA	SNX13	 17798181	chr7
      825	CAPN3	 40458206	chr15
NA	C8orf58	 22513059	chr8
NA	TTC32	 19959885	chr2
  6135	RPL11	 23890881	chr1
NA	C8orf58	 22514516	chr8
NA	PLCB4	  9125241	chr20
NA	SLC25A15	 40261597	chr13
NA	MAP2K2	  4041319	chr19
NA	PLCB4	  8997333	chr20
NA	ACER2	 19398925	chr9
NA	GPR125	 21998097	chr4
NA	NUDT5	 12249581	chr10
NA	SUGT1L1	 40383923	chr13
     1241	LTB4R	 23850545	chr14
NA	NUDT5	 12251727	chr10
NA	SNX13	 17798991	chr7
NA	NUDT5	 12252237	chr10
     1241	LTB4R	 23853746	chr14
100130423	SUGT1L1	 40384029	chr13
NA	SNX13	 17885575	chr7
NA	GPR125	 22030692	chr4
NA	XAF1	  6600122	chr17
      825	CAPN3	 40481880	chr15
NA	SNX13	 17885580	chr7
  3157	HMGCS1	 43325250	chr5
100133583	HLA-DQB1	 32698557	chrc6_QBL
    54739	XAF1	  6599880	chr17
NA	SUGT1L1	 40384016	chr13
    25769	SLC24A2	 19505978	chr9
    84699	CREB3L3	  4104629	chr19
NA	SLC24A2	 19505978	chr9
    57733	GBA3	 22303688	chr4
 24141	C20orf103	  9443271	chr20
      135	ADORA2A	 22996866	chr22
  9972	NUP153	 17723248	chr6
    56477	CCL28	 43417357	chr5
  1997	ELF1	 40404177	chr13
    79750	ZNF385D	 21437673	chr3
  6924	TCEB3	 23942549	chr1
      825	CAPN3	 40484269	chr15
NA	CREB3L3	  4104629	chr19
   162517	FBXO39	  6620296	chr17
    57805	KIAA1967	 22518496	chr8
 64417	C5orf28	 43481186	chr5
NA	AC104740.2	 22398294	chr3
 10891	PPARGC1A	 23402742	chr4
  4300	MLLT3	 20334968	chr9
    64417	C5orf28	 43480112	chr5
     1997	ELF1	 40404170	chr13
NA	AC104740.2	 22398314	chr3
    57805	KIAA1967	 22518202	chr8
    57144	PAK7	  9466037	chr20
    83659	TEKT1	  6644025	chr17
NA	ELF1	 40422053	chr13
    57539	WDR35	 19973512	chr2
  8872	CDC123	 12277971	chr10
    57095	C1orf128	 23977470	chr1
NA	HLA-DQB1	 32698431	chrc6_QBL
  9734	HDAC9	 18501894	chr7
    51733	UPB1	 23221251	chr22
NA	CDC123	 12278228	chr10
NA	HDAC9	 18502410	chr7
NA	BRWD1	 39496162	chr21
     7325	UBE2E2	 23225195	chr3
NA	HLA-DQA2	 32780658	chrc6_QBL
 51548	SIRT6	  4125106	chr19
NA	STATIP1	 31963881	chr18
NA	HDAC9	 18502315	chr7
NA	ABCA3	  2265880	chr16
NA	UPB1	 23221251	chr22
NA	C1orf128	 23984269	chr1
NA	HBB	  5204426	chr11
NA	MLLT3	 20334968	chr9
NA	HLA-DQB2	 32795451	chrc6_QBL
  1665	DHX15	 24138188	chr4
NA	HDAC9	 18584325	chr7
    57144	PAK7	  9466036	chr20
   375444	C5orf34	 43522567	chr5
    57118	CAMK1D	 12431824	chr10
NA	MLLT3	 20335075	chr9
  3045	HBD	  5210484	chr11
   196883	ADCY4	 23857395	chr14
     3045	HBD	  5210635	chr11
       21	ABCA3	  2265880	chr16
     7325	UBE2E2	 23219788	chr3
NA	MLLT3	 20336404	chr9
NA	AC027763.9	  6697619	chr17
    55250	STATIP1	 31963881	chr18
     6649	SOD3	 24406183	chr4
 11193	WBP4	 40533662	chr13
     4148	MATN3	 20056353	chr2
NA	C22orf13	 23266410	chr22
NA	AC027763.2	  6829166	chr17
NA	C22orf13	 23268366	chr22
    57118	CAMK1D	 12431738	chr10
    51548	SIRT6	  4125106	chr19
NA	AC027763.2	  6846085	chr17
    83606	C22orf13	 23268974	chr22
NA	GPR64	 18917348	chrX
     2	A2M	  9096693	chr12
     4148	MATN3	 20055353	chr2
NA	ADCY4	 23862366	chr14
  7291	TWIST1	 19121633	chr7
    89890	KBTBD6	 40599705	chr13
    83643	CCDC3	 12978635	chr10
 63926	ANKRD5	  9963697	chr20
NA	C22orf13	 23268655	chr22
NA	C22orf13	 23268724	chr22
 10605	PAIP1	 43562129	chr5
   645139	PAIP1	 43562129	chr5
   651789	PAIP1	 43562129	chr5
    84078	KBTBD7	 40661969	chr13
 55909	BIN3	 22533906	chr8
        2	A2M	  9111575	chr12
NA	BRWD1	 39479274	chr21
  6634	SNRPD3	 23281975	chr22
NA	C12orf33	  9101401	chr12
NA	TWIST1	 19122803	chr7
     6634	SNRPD3	 23281618	chr22
  3047	HBG1	  5226130	chr11
   239	ALOX12	  6840108	chr17
NA	CCDC3	 12978633	chr10
    63926	ANKRD5	  9963689	chr20
    54014	BRWD1	 39590241	chr21
    91050	CCDC149	 24418912	chr4
   222894	FERD3L	 19150930	chr7
     6891	TAP2	 32861173	chrc6_QBL
  7324	UBE2E1	 23822443	chr3
   899	CCNF	  2419482	chr16
NA	ALOX12	  6853532	chr17
NA	ANKRD24	  4134323	chr19
NA	AC040977.10-1	  6856652	chr17
     6891	TAP2	 32864754	chrc6_QBL
    55034	MOCOS	 32021478	chr18
    11035	RIPK3	 23875068	chr14
     3047	HBG1	  5226089	chr11
NA	CCDC149	 24418947	chr4
 11313	LYPLA2	 23990233	chr1
    10605	PAIP1	 43562975	chr5
     6634	SNRPD3	 23281977	chr22
NA	BIN3	 22534178	chr8
NA	CCNF	  2421006	chr16
221830	TWISTNB	 19701610	chr7
    91050	CCDC149	 24437679	chr4
NA	AC104389.8-2	  5226082	chr11
   440400	RNASEK	  6856522	chr17
388886	C22orf36	 23311588	chr22
NA	RIPK3	 23876127	chr14
NA	LYPLA2	 23990280	chr1
   170961	ANKRD24	  4149434	chr19
  9617	MTRF1	 40688516	chr13
NA	C22orf36	 23311603	chr22
NA	CCDC149	 24449551	chr4
  1960	EGR3	 22601119	chr8
    28512	NKIRAS1	 23908578	chr3
NA	RIPK3	 23877986	chr14
NA	LYPLA2	 23990233	chr1
  3150	HMGN1	 39636117	chr21
     9617	MTRF1	 40689111	chr13
NA	MTRF1	 40729892	chr13
NA	ANKRD24	  4137267	chr19
NA	LYPLA2	 23990298	chr1
     5696	PSMB8	 32880057	chrc6_QBL
   124944	C17orf49	  6858848	chr17
    10149	GPR64	 18917348	chrX
NA	LYPLA2	 23990264	chr1
   256130	TMEM196	 19725464	chr7
  9741	LAPTM4A	 20095894	chr2
NA	HBG2	  5231048	chr11
402694	RPL15	 23934355	chr3
   653232	RPL15	 23934355	chr3
NA	PSMB8	 32880057	chrc6_QBL
NA	TMEM196	 19727931	chr7
   157310	AC105046.10	 22626710	chr8
NA	LYPLA2	 23992730	chr1
    55203	LGI2	 24609569	chr4
NA	TMEM196	 19725464	chr7
     5858	PZP	  9192704	chr12
 54914	KIAA1797	 20648678	chr9
  6382	SDC1	 20264728	chr2
NA	HBG2	  5230996	chr11
   255877	BCL6B	  6867093	chr17
    10148	EBI3	  4180495	chr19
  4776	NFATC4	 23907094	chr14
     6616	SNAP25	 10147477	chr20
     3048	HBG2	  5231008	chr11
NA	HMGN1	 39636675	chr21
     6382	SDC1	 20264041	chr2
    80178	C16orf59	  2450116	chr16
     3150	HMGN1	 39636117	chr21
 63971	KIF13A	 17870764	chr6
NA	TMEM196	 19725458	chr7
 23530	NNT	 43638986	chr5
     6138	RPL15	 23933643	chr3
   653232	RPL15	 23933643	chr3
 23221	RHOBTB2	 22913059	chr8
    54914	KIAA1797	 20648308	chr9
NA	FHOD3	 32131700	chr18
     2582	GALE	 23994676	chr1
    63971	KIF13A	 17871907	chr6
   346389	MACC1	 20140813	chr7
NA	PZP	  9192704	chr12
 10133	OPTN	 13182088	chr10
     4917	NTN3	  2461501	chr16
 64397	ZFP106	 40492314	chr15
NA	LGI2	 24614601	chr4
  2678	GGT1	 23333655	chr22
   401494	PTPLAD2	 20996365	chr9
     6890	TAP1	 32884549	chrc6_QBL
   201232	SLC16A13	  6880118	chr17
    57465	TBC1D24	  2465148	chr16
 55702	CCDC94	  4198087	chr19
NA	PSMB9	 32893568	chrc6_QBL
 79612	NARG1L	 40783418	chr13
 57523	KIAA1305	 23937832	chr14
NA	GPR64	 18917353	chrX
    51091	SEPSECS	 24731722	chr4
    80206	FHOD3	 32131700	chr18
     5698	PSMB9	 32893501	chrc6_QBL
    10149	GPR64	 18917353	chrX
NA	PSMB9	 32883476	chrc6_QBL
NA	AL132800.4	 23955209	chr14
NA	HMGN1	 39636488	chr21
    23530	NNT	 43638582	chr5
     3456	IFNB1	 21067104	chr9
   346389	MACC1	 20146773	chr7
     3467	IFNW1	 21130213	chr9
   643866	CBLN3	 23965582	chr14
   162515	SLC16A11	  6885673	chr17
     3452	IFNA21	 21155636	chr9
     2255	FGF10	 44340831	chr5
   527	ATP6V0C	  2503954	chr16
     3441	IFNA4	 21176693	chr9
NA	SLC16A11	  6885673	chr17
    56961	SHD	  4229598	chr19
NA	NARG1L	 40783418	chr13
     3444	IFNA7	 21191468	chr9
     3109	HLA-DMB	 32973998	chrc6_QBL
  7485	WRB	 39674109	chr21
     3048	HBG2	  5230996	chr11
     3446	IFNA10	 21196180	chr9
     3449	IFNA16	 21206372	chr9
NA	AC104389.8-3	  5230997	chr11
  3696	ITGB8	 20337250	chr7
 23351	KIAA0323	 23968981	chr14
  8195	MKKS	 10333839	chr20
     3451	IFNA17	 21217242	chr9
    79612	NARG1L	 40783416	chr13
  8773	SNAP23	 40575127	chr15
  9975	NR1D2	 23961810	chr3
     2678	GGT1	 23329180	chr22
     3448	IFNA14	 21191234	chr9
 25941	C18orf10	 32630033	chr18
NA	KIF13A	 17871905	chr6
   126259	TMIGD2	  4243237	chr19
    51091	SEPSECS	 24730734	chr4
  3046	HBE1	  5246160	chr11
NA	GALE	 23994680	chr1
 10462	CLEC10A	  6918581	chr17
 23369	PUM2	 20311934	chr2
  8795	TNFRSF10B	 22933598	chr8
NA	AMDHD2	  2510428	chr16
NA	WRB	 39681568	chr21
    55300	PI4K2B	 24844751	chr4
    25941	C18orf10	 32630033	chr18
NA	AC009533.10-1	  9332069	chr12
NA	GPR64	 18918750	chrX
NA	AL731858.10-2	 40903976	chr13
    51005	AMDHD2	  2510428	chr16
    23369	PUM2	 20311934	chr2
    56948	SDR39U1	 23978814	chr14
     3448	IFNA14	 21229001	chr9
 10884	MRPS30	 44844784	chr5
NA	HLA-DMB	 32973989	chrc6_QBL
   408186	AC137766.2	  9440930	chr12
NA	WRB	 39674254	chr21
     3046	HBE1	  5246158	chr11
     3442	IFNA5	 21294325	chr9
    79187	FSD1	  4255668	chr19
NA	KIF13A	 17871907	chr6
   433	ASGR2	  6945365	chr17
 29063	ZCCHC4	 24923494	chr4
NA	HBE1	  5247312	chr11
   752014	CEMP1	  2517082	chr16
    79339	OR51B4	  5278820	chr11
 55958	KLHL9	 21319670	chr9
NA	SDR39U1	 23978814	chr14
    28984	C13orf15	 40929542	chr13
     3155	HMGCL	 24000955	chr1
NA	WRB	 39681561	chr21
    79345	OR51B2	  5301165	chr11
     3443	IFNA6	 21339834	chr9
NA	NR1D2	 23961810	chr3
NA	KIF13A	 18058624	chr6
     3108	HLA-DMA	 32987972	chrc6_QBL
     3447	IFNA13	 21357423	chr9
     2678	GGT1	 23309718	chr22
NA	OR51B6	  5301537	chr11
     8773	SNAP23	 40591337	chr15
   340273	ABCB5	 20621355	chr7
     3440	IFNA2	 21374253	chr9
NA	HLA-DMA	 32987972	chrc6_QBL
NA	AL023807.6-2	 17986664	chr6
   150082	C21orf13	 39699640	chr21
  3445	IFNA8	 21399146	chr9
    57536	KIAA1328	 32663078	chr18
254896	TNFRSF10C	 23016377	chr8
  5160	PDHA1	 19271972	chrX
   255252	LRRC57	 40622018	chr15
   378884	NHLRC1	 18229629	chr6
     3439	IFNA1	 21430440	chr9
NA	TNFRSF10C	 22997813	chr8
   390058	OR51B6	  5329314	chr11
   282763	OR51B5	  5320392	chr11
   340273	ABCB5	 20634836	chr7
   390059	OR51M1	  5367205	chr11
NA	OR51J1	  5380403	chr11
   348980	HCN1	 45295125	chr5
     8794	TNFRSF10C	 23016379	chr8
  7068	THRB	 24134709	chr3
   390061	OR51Q1	  5400007	chr11
NA	HMGCL	 24000962	chr1
     6046	BRD2	 33008037	chrc6_QBL
    23369	PUM2	 20314552	chr2
NA	HMGCL	 24000964	chr1
     1215	CMA1	 24044552	chr14
    55620	STAP2	  4275041	chr19
   255252	LRRC57	 40622014	chr15
  7172	TPMT	 18236526	chr6
NA	KIAA1328	 32663078	chr18
     6046	BRD2	 33010265	chrc6_QBL
NA	OR51I1	  5400959	chr11
   388	RHOB	 20510316	chr2
NA	C20orf94	 10363951	chr20
NA	HMGCL	 24006106	chr1
NA	BRD2	 33012107	chrc6_QBL
   150082	C21orf13	 39699656	chr21
   128710	C20orf94	 10363949	chr20
NA	ASGR2	  6945365	chr17
NA	OR51I1	  5418376	chr11
  5170	PDPK1	  2528035	chr16
   340273	ABCB5	 20653570	chr7
    10133	OPTN	 13181455	chr10
NA	AL353732.14	 21444270	chr9
   390063	OR51I1	  5418376	chr11
NA	ABCB5	 20653491	chr7
 55142	CEP27	 40628345	chr15
NA	OPTN	 13181588	chr10
  6450	SH3BGR	 39745650	chr21
   390064	OR51I2	  5431295	chr11
     3111	HLA-DOA	 33043504	chrc6_QBL
NA	OR51I2	  5431328	chr11
  2517	FUCA1	 24044161	chr1
   338376	IFNE	 21471067	chr9
NA	HLA-DOA	 33046823	chrc6_QBL
NA	CMA1	 24044552	chr14
NA	OPTN	 13182179	chr10
     5170	PDPK1	  2527971	chr16
    29945	ANAPC4	 24987946	chr4
   221833	SP8	 20790431	chr7
   390066	OR52D1	  5466513	chr11
   133418	EMB	 49730236	chr5
     2678	GGT1	 23329168	chr22
   432	ASGR1	  7017474	chr17
NA	MPND	  4294556	chr19
NA	SP8	 20790434	chr7
     2517	FUCA1	 24044161	chr1
     3113	HLA-DPA1	 33104253	chrc6_QBL
     8793	TNFRSF10D	 23049051	chr8
  1511	CTSG	 24112564	chr14
    56853	BRUNOL4	 33077828	chr18
    50613	UBQLN3	  5485108	chr11
     2678	GGT1	 23329183	chr22
NA	RHOB	 20510316	chr2
    84954	MPND	  4294556	chr19
   645106	AC090510.4-2	 40655149	chr15
NA	THRB	 24134709	chr3
NA	GGT1	 23353147	chr22
  4507	MTAP	 21792748	chr9
     6450	SH3BGR	 39739667	chr21
NA	GGT1	 23353219	chr22
NA	GGT1	 23353222	chr22
   221833	SP8	 20788428	chr7
NA	AC090510.4-2	 40655149	chr15
NA	HS1BP3	 20681917	chr2
NA	PDHA1	 19272007	chrX
   143630	UBQLNL	  5492199	chr11
NA	ASGR1	  7019881	chr17
   728226	GGT1	 23353375	chr22
     4507	MTAP	 21792635	chr9
  2999	GZMH	 24145534	chr14
NA	OR52H1	  5505936	chr11
NA	GGT1	 23353411	chr22
NA	STARD9	 40764306	chr15
     6450	SH3BGR	 39739661	chr21
   390067	OR52H1	  5522367	chr11
     6450	SH3BGR	 39739738	chr21
   340980	OR52B6	  5558683	chr11
    64342	HS1BP3	 20681045	chr2
    57519	STARD9	 40766990	chr15
     1269	CNR2	 24073047	chr1
NA	C21orf88	 39890949	chr21
     8797	TNFRSF10A	 23104916	chr8
    23078	KIAA0564	 41038962	chr13
   221656	AOF1	 18263598	chr6
    10568	SLC34A2	 25266533	chr4
   440822	PIWIL3	 23445001	chr22
NA	PDHA1	 19271997	chrX
  6455	SH3GL1	  4311370	chr19
NA	HLA-DPB1	 33115667	chrc6_QBL
     2999	GZMH	 24145534	chr14
   182	JAG1	 10566334	chr20
  6671	SP4	 21434214	chr7
NA	AC090510.4-3	 40798687	chr15
NA	HS1BP3	 20697957	chr2
  5915	RARB	 25190893	chr3
 79668	PARP8	 49998570	chr5
 55388	MCM10	 13243587	chr10
NA	MTAP	 21792654	chr9
NA	BRUNOL4	 33077828	chr18
  1742	DLG4	  7033933	chr17
NA	HS1BP3	 20703266	chr2
   129049	SGSM1	 23532236	chr22
    53840	TRIM6-TRIM34	  5574462	chr11
   445372	TRIM6-TRIM34	  5574462	chr11
   440081	DDX12	  9461576	chr12
   151449	GDF7	 20729905	chr2
   129049	SGSM1	 23532286	chr22
NA	AOF1	 18263598	chr6
NA	PDPK1	  2528166	chr16
NA	C21orf88	 39899396	chr21
   129049	SGSM1	 23559391	chr22
100131337	C21orf88	 39899421	chr21
 55629	PNRC2	 24158905	chr1
100131261	PNRC2	 24158905	chr1
100132235	PNRC2	 24158905	chr1
NA	AC093525.3	  2544102	chr16
NA	PDHA1	 19283621	chrX
     1029	CDKN2A	 21957751	chr9
NA	AC011139.8	 35168834	chr18
NA	CDAN1	 40803054	chr15
 91782	CHMP7	 23159705	chr8
  3002	GZMB	 24170017	chr14
  3670	ISL1	 50714715	chr5
 60526	C2orf43	 20747285	chr2
NA	SGSM1	 23559391	chr22
NA	DLG4	  7033933	chr17
NA	KIAA0564	 41038961	chr13
    10317	B3GALT5	 39951574	chr21
NA	C2orf43	 20747284	chr2
389840	MAP3K15	 19288095	chrX
   146059	CDAN1	 40803054	chr15
    60526	C2orf43	 20748300	chr2
NA	AC141586.2-1	  2592267	chr16
NA	RARB	 25445227	chr3
    23078	KIAA0564	 41191475	chr13
   117854	TRIM6-TRIM34	  5574462	chr11
NA	AC141586.2-2	  2593352	chr16
NA	AOF1	 18263741	chr6
NA	SGSM1	 23532136	chr22
 10036	CHAF1A	  4353660	chr19
NA	AC006432.15-1	  9563025	chr12
    91782	CHMP7	 23157095	chr8
    23231	AC092436.5-6	 25358148	chr4
  5289	PIK3C3	 37789197	chr18
NA	MCM10	 13246134	chr10
NA	KIAA0564	 41331443	chr13
NA	C2orf43	 20852130	chr2
NA	GZMB	 24170017	chr14
  7913	DEK	 18332381	chr6
   389840	MAP3K15	 19288095	chrX
NA	KIAA0564	 41336742	chr13
NA	MAP3K15	 19288097	chrX
   728715	AC006432.15-2	  9614685	chr12
   255349	TMEM211	 23661208	chr22
     5915	RARB	 25444758	chr3
   221044	C10orf49	 13303775	chr10
NA	C20orf187	 10944738	chr20
NA	C20orf187	 10956408	chr20
NA	AC141586.2-3	  2606123	chr16
   255349	TMEM211	 23661077	chr22
NA	AC092436.5-6	 25358148	chr4
NA	PIK3C3	 37789197	chr18
NA	CHAF1A	  4353659	chr19
203069	R3HCC1	 23201577	chr8
 10772	FUSIP1	 24165526	chr1
   642558	FUSIP1	 24165526	chr1
     7913	DEK	 18332392	chr6
NA	TRIM6-TRIM34	  5581119	chr11
    85379	CTA-221G9.5	 23753967	chr22
 22903	BTBD3	 11846565	chr20
   389203	AC133961.3	 25524917	chr4
    10317	B3GALT5	 39850239	chr21
  3820	KLRB1	  9638415	chr12
146057	TTBK2	 40823842	chr15
     3672	ITGA1	 52119893	chr5
    37	ACADVL	  7063855	chr17
  5264	PHYH	 13359849	chr10
     6014	RIT2	 38577191	chr18
       37	ACADVL	  7063877	chr17
 29091	STXBP6	 24348708	chr14
    85379	CTA-221G9.5	 23753158	chr22
   653884	FUSIP1	 24163881	chr1
     8701	DNAH11	 21549358	chr7
   117854	TRIM6-TRIM34	  5573923	chr11
      338	APOB	 21077806	chr2
NA	CTA-221G9.5	 23795936	chr22
NA	FUSIP1	 24167003	chr1
NA	AC092117.4-1	  2670682	chr16
NA	APOB	 21100547	chr2
NA	IBRDC2	 18495560	chr6
     4017	LOXL2	 23210355	chr8
    80700	UBXN6	  4396009	chr19
     1029	CDKN2A	 21960901	chr9
NA	FUSIP1	 24166695	chr1
100129278	AC010872.2	 21200294	chr2
     1417	CRYBB3	 23925825	chr22
